"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","class","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet"
"1","2019-12-16 17:13:17-03","NYBG","NYBG","00917657","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","lebbeck","Albizia lebbeck","R. C. Barneby; J. W. Grimes","1991","G. G. Hatschbach","47340","1984","01","18","South America","Brazil","Minas Gerais","Miradouro","Rod. BR-116, Rib. Conceiçao","-42.3422","-20.8908","-42.3422","-20.8908","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997617 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00917657","NY00917657",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:22:04-03","NYBG","NYBG","00932535","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga",NA,"Inga",NA,NA,"G. G. Hatschbach","57935","1992","10","10","South America","Brazil","Minas Gerais","Miradouro","Rod. BR-116","-42.3422","-20.8908","-42.3422","-20.8908","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006325 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00932535","NY00932535",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:22:36-03","NYBG","NYBG","00932333","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","nuda","Inga nuda","O. Poncy","1990","G. G. Hatschbach","44301","1981","10","18","South America","Brazil","Minas Gerais","Miradouro","Rod. BR-116","-42.3422","-20.8908","-42.3422","-20.8908","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004665 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00932333","NY00932333","Salzm. ex Benth.",NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-02-10 11:46:22-02","BM","SOLANACEAE_SOURCE_BR","26053","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","hexandrum","Solanum hexandrum","Nee, M.","2000","Hatschbach, G.","57934","1992","10","10","Southern America","Brazil","Minas Gerais","Miradouro","Rod. BR-116.","-42.3425","-20.8906",NA,NA,NA,"Arbusto 1.50 m, pétalas lilases.; Clareiras da mata.","BM000935431",NA,"Vell.","Dicotyledoneae","01","01","20127","auto",NA,NA,NA
"5","2019-02-22 15:20:38-03","ESALQ","ESA","72516","S","Plantae","Magnoliophyta",NA,"Lamiaceae","Vitex","polygama","Vitex polygama","Salino, A.","2001","Salino, A. ; Moraes, P.O.","6015","2001","01","12",NA,"Brasil","Minas Gerais","Miradouro",NA,"-42.3424987792969","-20.8906002044678",NA,NA,NA,NA,"ESA072516","ESA072516","Cham.",NA,"01",NA,"20127","auto",NA,NA,NA
"6","2019-07-11 10:14:50-03","ESALQ","ESA","93323","S","Plantae","Magnoliophyta",NA,"Violaceae","Anchietea","pyrifolia","Anchietea pyrifolia","Paula-Souza, J.","2014",NA,NA,"1994","04","04",NA,"Brasil","Minas Gerais","Miradouro",NA,"-42.3424987792969","-20.8906002044678",NA,NA,NA,NA,"ESA093323","ESA093323","(Mart.) G. Don",NA,NA,NA,"20127","auto",NA,NA,NA
"7","2019-07-11 08:49:34-03","ESALQ","ESA","72512","S","Plantae","Magnoliophyta",NA,"Araceae","Anthurium","scandens","Anthurium scandens","Salino, A.","2001","Salino, A. ; Moraes, P.O.","6004","2001","01","12",NA,"Brasil","Minas Gerais","Miradouro",NA,"-42.3424987792969","-20.8906002044678",NA,NA,NA,NA,"ESA072512","ESA072512",NA,NA,"01",NA,"20127","auto",NA,NA,NA
"8","2019-02-22 15:19:27-03","ESALQ","ESA","72513","S","Plantae","Magnoliophyta",NA,"Fabaceae","Stryphnodendron","polyphyllum","Stryphnodendron polyphyllum","Salino, A.","2001","Salino, A. ; Moraes, P.O.","5983","2001","01","12",NA,"Brasil","Minas Gerais","Miradouro",NA,"-42.3424987792969","-20.8906002044678",NA,NA,NA,NA,"ESA072513","ESA072513","Mart.",NA,"01",NA,"20127","auto",NA,NA,NA
"9","2020-03-10 08:27:18-03","UFV","VIC","12249","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","clematidea","Praxelis clematidea","Esteves, R.L.","2004","Andrade, M.","s.n.","1993","02","10",NA,"Brasil","Minas Gerais","Miradouro","Fazenda Pica-pau","-42.3424987792969","-20.8906002044678",NA,NA,NA,"Erva em pasto.","VIC012249","VIC012249","(Griseb.) R.M. King & H. Rob.",NA,"07","21","20127","auto",NA,NA,NA
"10","2020-03-10 08:28:57-03","UFV","VIC","12250","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Sida","linifolia","Sida linifolia",NA,NA,"Maita, A.","s.n.","1993","02","11",NA,"Brasil","Minas Gerais","Miradouro","Fazenda Vargem, propriedade de Itamar Pierre.","-42.3424987792969","-20.8906002044678",NA,NA,NA,"Erva","VIC012250","VIC012250","Juss.",NA,NA,NA,"20127","auto",NA,NA,NA
"11","2020-03-10 08:28:48-03","UFV","VIC","024823","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Lycopodium","clavatum","Lycopodium clavatum",NA,NA,"Carvalho, A.F.","678","2000","06","27",NA,"Brasil","Minas Gerais","Miradouro","Monte Alverne","-42.3424987792969","-20.8906002044678",NA,NA,NA,"Planta crescendo em barranco úmido sombreado.","VIC024823","VIC024823","L.",NA,NA,NA,"20127","auto",NA,NA,NA
