"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","typeStatus","coordinatePrecision","geoFlag","infraspecificEpithet","monthIdentified","dayIdentified","class","individualCount","relatedCatalogItem","sex"
"1","2019-12-16 18:56:52-03","NYBG","NYBG","02702108","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Pilocarpus","riedelianus","Pilocarpus riedelianus","Engl.","J. R. Pirani","6114","2011","01","20","South America","Brazil","Espírito Santo","Colatina","estrada não-pavimentada de Colatina ao Bairro Quartel de Linhares, ao longo da margem direita do Rio Doce, ca. 9 Km E da BR-259. Fazenda Gigante. Fragmento de Floresta de Tabuleiro muito perturbada, em topo e encosta de elevação.","-40.43494","-19.54875","-40.43494","-19.54875","88","88","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997303 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02702108","NY02702108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:26:37-03","NYBG","NYBG","02286572","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","fragae","Pleroma fragae","L.Kollmann & R.Goldenb.","L. F. S. Magnago","792","2006","04","17","South America","Brazil","Espírito Santo","Colatina","Alto Moacir, Pedra de Cruzeiro, propr. Landislau.","-40.5508","-19.3481","-40.5508","-19.3481","150","850","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2954848 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02286572","NY02286572","F. A. Michelangeli","2016","paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:33:26-03","NYBG","NYBG","884846","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","urbanii","Polygala urbanii","Chodat","J. R. Pirani","1122","1985","01","13","South America","Brazil","Espírito Santo","Colatina","BR 259, a 17 km de Colatina indo para Joao Neiva.","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968035 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00884846","NY00884846","A. C. Aguiar","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:56:53-03","NYBG","NYBG","02702106","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Ravenia","infelix","Ravenia infelix","Vell.","J. R. Pirani","6118","2011","01","20","South America","Brazil","Espírito Santo","Colatina","Estrada não-pavimentada de Colatina ao Bairro do Rio Doce, ca. 9 km E da BR-259, Fazenda Gigante. Fragmento de Floresta de Tabuleiro muito perturbada. em topo da encosta de elevação.","-40.43494","-19.5486","-40.43494","-19.5486","88","88","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997300 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02702106","NY02702106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:33:26-03","NYBG","NYBG","393588","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","G.Schellenb.","J. G. Kuhlmann","351","1934","05","16","South America","Brazil","Espírito Santo","Colatina","Estrada do Patrimônio, porto do Colatina","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250894 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00393588","NY00393588","E. Forero","1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 17:28:19-03","NYBG","NYBG","391411","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","tenuifolia","Senegalia tenuifolia","(L.) Britton & Rose","J. G. Kuhlmann","6568","1943","11","30","South America","Brazil","Espírito Santo","Colatina","Patrimonio, Rio Doce, Colatina","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=699641 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00391411","NY00391411","V. Terra dos Santos","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:13:25-03","NYBG","NYBG","1546335","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hydrogaster","trinervis","Hydrogaster trinervis","Kuhlm.","J. G. Kuhlmann","56[=herb. RB 24488]","1934","03","25","South America","Brazil","Espírito Santo","Colatina","Colatina. Córrego São Gonçalo, Estrada da Colônia","-40.6305999755859","-19.539400100708",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1835245 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01546335","NY01546335",NA,NA,NA,"57036","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:34:18-03","NYBG","NYBG","01405119","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Nanuza",NA,"Nanuza",NA,"J. R. Pirani","3382","1994","12","04","South America","Brazil","Espírito Santo","Colatina","ES-080, a ca. 15Km N de Colatina.","-40.6305999755859","-19.539400100708",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2892012 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01405119","NY01405119",NA,NA,NA,"57036","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 17:28:37-03","NYBG","NYBG","582775","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","cana","Senna cana pilosula","H.S.Irwin & Barneby","A. P. Duarte","9010","1965","02","26","South America","Brazil","Espírito Santo","Colatina","Lowland on Rico Doce","-40.6305999755859","-19.539400100708",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=211817 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00582775","NY00582775","H. S. Irwin; R. C. Barneby",NA,NA,"57036","auto","pilosula",NA,NA,NA,NA,NA,NA
"10","2019-12-16 18:14:30-03","NYBG","NYBG","410646","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Sida","cerradoensis","Sida cerradoensis","Krapov.","M. M. Arbo","7768","1997","01","28","South America","Brazil","Espírito Santo","Colatina","Rio Pancas, 6-10 km N de Colatina, camino de tierra sobre la margen izquierda","-40.6305999755859","-19.539400100708",NA,NA,NA,"200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=137141 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00410646","NY00410646","P. A. Fryxell","1998",NA,"57036","auto",NA,NA,NA,NA,NA,NA,NA
"11","2019-12-16 17:25:47-03","NYBG","NYBG","1145122","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","pudica","Mimosa pudica tetrandra","(Willd.) DC.","M. M. Arbo","7764","1997","01","28","South America","Brazil","Espírito Santo","Colatina","Rio Pancas, 6-10 km N de Colatina, camino de tierra sobre la margen izquierda","-40.6305999755859","-19.539400100708",NA,NA,NA,"200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306482 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01145122","NY01145122","R. C. Barneby","1997",NA,"57036","auto","tetrandra",NA,NA,NA,NA,NA,NA
"12","2019-12-16 17:32:02-03","NYBG","NYBG","1523196","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","latifolia","Zornia latifolia","Sm.","M. M. Arbo","7767","1997","01","28","South America","Brazil","Espírito Santo","Colatina","Rio Pancas, 6-10 km N de Colatina, camino de tierra sobre la margen izquierda","-40.6305999755859","-19.539400100708",NA,NA,NA,"200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1792224 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01523196","NY01523196","A. P. Fortuna Perez","2008",NA,"57036","auto",NA,NA,NA,NA,NA,NA,NA
"13","2019-12-16 18:26:37-03","NYBG","NYBG","02688306","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","fragae","Pleroma fragae","L.Kollmann & R.Goldenb.","L. J.-C. Kollmann","10918","2008","04","18","South America","Brazil","Espírito Santo","Colatina","Sapucaia, Alto Moacir, terreno do Laulau","-40.6305999755859","-19.539400100708",NA,NA,"300","300","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2954796 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02688306","NY02688306","F. A. Michelangeli","2016","isotype","57036","auto",NA,NA,NA,NA,NA,NA,NA
"14","2019-12-16 18:41:35-03","NYBG","NYBG","04083612","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","didina","Scleria didina","Bonet Mayedo & W.W.Thomas","L. F. S. Magnago","718","2006","02","22","South America","Brazil","Espírito Santo","Colatina","Alto Moacir, Pedra de Cruzeiro, propr. Landislau.","-40.51875","-19.3108","-40.51875","-19.3108","150","850","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4408105 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY04083612",NA,NA,NA,"paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-12-16 18:06:01-03","NYBG","NYBG","1018897","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Amorimia","maritima","Amorimia maritima","(A.Juss.) W.R.Anderson","J. Döbereiner","1765","1984","06",NA,"South America","Brazil","Espírito Santo","Colatina",NA,"-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1263468 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01018897","NY01018897","R. F. de Almeida","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-12-16 17:13:34-03","NYBG","NYBG","452236","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Andira","anthelmia","Andira anthelmia","(Vell.) J.F.Macbr.","J. G. Kuhlmann","360",NA,NA,NA,"South America","Brazil","Espírito Santo","Colatina","Colatina, Estrada de Pancas","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=550292 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00452236","NY00452236","R. T. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-12-16 18:34:37-03","NYBG","NYBG","1182729","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","gracilipedunculata","Aristolochia gracilipedunculata","F.González","L. F. S. Magnago","803","2006","04","17","South America","Brazil","Espírito Santo","Colatina","Alto Moacir, Pedra de Cruzeiro, propr. Landislau.","-40.5508","-19.3481","-40.5508","-19.3481","150","850","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408685 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01182729","NY01182729","F. A. González","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-12-16 18:34:37-03","NYBG","NYBG","454165","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","trilobata","Aristolochia trilobata","L.","T. Clayton",NA,"1951","09","01","South America","Brazil","Espírito Santo","Colatina","Near roadside to Baunilha near Collatina","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118856 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00454165","NY00454165","F. A. González","1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-16 18:34:37-03","NYBG","NYBG","454166","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","trilobata","Aristolochia trilobata","L.","T. Clayton",NA,"1951","09",NA,"South America","Brazil","Espírito Santo","Colatina","Near roadside to Baunilha near Collatina","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118846 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00454166","NY00454166","K. A. Barringer","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-16 18:34:37-03","NYBG","NYBG","454167","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","trilobata","Aristolochia trilobata","L.","T. Clayton",NA,"1951","09",NA,"South America","Brazil","Espírito Santo","Colatina","Near roadside to Baunilha near Collatina","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118845 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00454167","NY00454167","K. A. Barringer","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-12-16 18:12:31-03","NYBG","NYBG","01096419","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Bixaceae","Bixa","orellana","Bixa orellana","L.","J. G. Kuhlmann","55","1984","03","25","South America","Brazil","Espírito Santo","Colatina","Espírito Santo, Corrego São Gonçalo. Estrada da Águia Branca, Collatina.","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237426 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01096419","NY01096419","F. S. Gil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-12-16 18:06:35-03","NYBG","NYBG","776970","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Bunchosia","pallescens","Bunchosia pallescens","Skottsb.","G. F. Arbocz","1517","1995","06","14","South America","Brazil","Espírito Santo","Colatina","Colatina, Aeroporto","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79464 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00776970",NA,"M. C. H. Mamede","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-12-16 17:45:48-03","NYBG","NYBG","412187","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Callichlamys","latifolia","Callichlamys latifolia","(Rich.) K.Schum.","A. P. Duarte","3953",NA,NA,NA,"South America","Brazil","Espírito Santo","Colatina","Norte do estado, entre o Rio Pancas e Colatina.","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=124933 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00412187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-12-16 17:18:28-03","NYBG","NYBG","471073","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","rotundifolia","Chamaecrista rotundifolia rotundifolia","(Pers.) Greene","A. P. Duarte","13997","1971","12","04","South America","Brazil","Espírito Santo","Colatina","Entre Colatina e Patrimonio 15","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41818 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00471073","NY00471073","R. C. Barneby",NA,NA,NA,NA,"rotundifolia",NA,NA,NA,NA,NA,NA
"25","2019-12-16 17:18:28-03","NYBG","NYBG","471106","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","rotundifolia","Chamaecrista rotundifolia rotundifolia","(Pers.) Greene","M. M. Arbo","7766","1997","01","28","South America","Brazil","Espírito Santo","Colatina","Rio Panças, 6 - 10 km N de Colatina, camino de tierra sobre la margen izquierda","-40.6306","-19.5394","-40.6306","-19.5394",NA,"200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41771 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00471106","NY00471106","R. C. Barneby",NA,NA,NA,NA,"rotundifolia",NA,NA,NA,NA,NA,NA
"26","2019-12-16 17:18:28-03","NYBG","NYBG","471109","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","rotundifolia","Chamaecrista rotundifolia rotundifolia","(Pers.) Greene","A. P. Duarte","13997","1971","12","04","South America","Brazil","Espírito Santo","Colatina","Entre Colatina e Patrimonio","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41792 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00471109","NY00471109",NA,NA,NA,NA,NA,"rotundifolia",NA,NA,NA,NA,NA,NA
"27","2019-12-16 16:53:53-03","NYBG","NYBG","02447479","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia",NA,"Cordia","L.","P. Fiaschi","3490","2011","01","20","South America","Brazil","Espírito Santo","Colatina","Estrada não-pavimentada de Colatina ao bairro Quartel de Linhares, ao longo da margem direita do Rio Doce, ca. 9 km E da BR-259, Fazenda Gigante","-40.43494","-19.54875","-40.43494","-19.54875","88","88","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2621360 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02447479","NY02447479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-12-16 17:19:04-03","NYBG","NYBG","02634331","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cranocarpus","mezii","Cranocarpus mezii","Taub.","M. M. Arbo","7763","1997","01","28","South America","Brazil","Espírito Santo","Colatina","Rio Pancas, 6-10 km N de Colatina, camino de tierra sobre la margen izquierda","-40.642","-19.458","-40.642","-19.458",NA,"200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2935658 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02634331","NY02634331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-12-16 17:19:04-03","NYBG","NYBG","2634337","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cranocarpus","mezii","Cranocarpus mezii","Taub.","M. M. Arbo","7763","1997","01","28","South America","Brazil","Espírito Santo","Colatina","Rio Pancas, 6-10 km N de Colatina, camino de tierra sobre la margen izquierda","-40.642","-19.458","-40.642","-19.458",NA,"200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2935664 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02634337","NY02634337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-12-16 18:02:54-03","NYBG","NYBG","569633","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","triqueter","Croton triqueter","Lam.","M. M. Arbo","7769","1997","01","28","South America","Brazil","Espírito Santo","Colatina","Rio Pancas, 6-10 km N de Colatina, camino de tierra sobre la margen izquierda","-40.6305999755859","-19.539400100708",NA,NA,NA,"200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591481 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00569633","NY00569633","I. Cordeiro","2007",NA,"57036","auto",NA,NA,NA,NA,NA,NA,NA
"31","2019-12-16 18:48:56-03","NYBG","NYBG","565956","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","cayapia","Dorstenia cayapia","Vell.","J. G. Kuhlmann","6589","1943","12","01","South America","Brazil","Espírito Santo","Colatina","Rio Paucas, Colatino (estrada velha)","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393140 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00565956","NY00565956","J. P. P. Carauta","1978",NA,NA,NA,NA,"01","03",NA,NA,NA,NA
"32","2019-12-16 18:56:35-03","NYBG","NYBG","382214","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","grandiflora","Esenbeckia grandiflora grandiflora","Mart.","J. G. Kuhlmann","301","1934","05","05","South America","Brazil","Espírito Santo","Colatina","Rio Sao Gonçalo aff. do S. José, a 58 kilometros de Collatina.","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=704093 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00382214","NY00382214",NA,NA,NA,NA,NA,"grandiflora",NA,NA,NA,NA,NA,NA
"33","2019-12-16 17:46:04-03","NYBG","NYBG","411892","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","conjugata","Fridericia conjugata","(Vell.) L.G.Lohmann","J. G. Kuhlmann","6575","1943","11","30","South America","Brazil","Espírito Santo","Colatina","Patrimônio, Rio Doce, Colatina.","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=582856 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00411892","NY00411892","M. Kaehler","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-12-16 17:46:05-03","NYBG","NYBG","411993","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","cuneifolia","Fridericia cuneifolia","(DC.) L.G.Lohmann","J. G. Kuhlmann","6653","1948","12","08","South America","Brazil","Espírito Santo","Colatina","Rio Pancas, Colatina.","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=544947 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00411993","NY00411993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-12-16 17:46:05-03","NYBG","NYBG","483690","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","erubescens","Fridericia erubescens","(DC.) L.G.Lohmann","T. Clayton","s.n.","1951","09",NA,"South America","Brazil","Espírito Santo","Colatina","Near Collatina.","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=625049 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00483690","NY00483690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-12-16 17:46:05-03","NYBG","NYBG","483691","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","erubescens","Fridericia erubescens","(DC.) L.G.Lohmann","J. G. Kuhlmann","3","1951","09",NA,"South America","Brazil","Espírito Santo","Colatina","Sta. Joana, acima de Colatina.","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=625050 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00483691","NY00483691",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-12-16 17:46:21-03","NYBG","NYBG","411958","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","tynanthoides","Fridericia tynanthoides","(A.H.Gentry) L.G.Lohmann","J. G. Kuhlmann","64","1934","03","26","South America","Brazil","Espírito Santo","Colatina","Estrada Velha do Pancas, Colatina.","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441333 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00411958","NY00411958","M. Kaehler","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-12-16 17:39:47-03","NYBG","NYBG","397503","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Genipa","americana","Genipa americana americana","L.","D. A. Folli","1513","1991","12","11","South America","Brazil","Espírito Santo","Colatina","Ao lado do asfalto de Colantina a S. Rafael","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=15218 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00397503","NY00397503","B. M. Boom","1994",NA,NA,NA,"americana",NA,NA,NA,NA,NA,NA
"39","2019-12-16 17:39:47-03","NYBG","NYBG","397501","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Genipa","americana","Genipa americana americana","L.","H. N. Whitford","52","1918","07","03","South America","Brazil","Espírito Santo","Colatina","Collatina. Rio Doce","-40.6306","-19.5394","-40.6306","-19.5394","50","50","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=15216 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00397501","NY00397501","J. A. Steyermark","1968",NA,NA,NA,"americana",NA,NA,NA,NA,NA,NA
"40","2019-12-16 17:21:31-03","NYBG","NYBG","1477581","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Grazielodendron","riodocensis","Grazielodendron riodocensis","H.C.Lima","J. G. Kuhlmann","367[=herb. RB 111921","1930","09","20","South America","Brazil","Espírito Santo","Colatina","Colatina. Km 8 da estrada velha do Paucos","-40.6305999755859","-19.539400100708",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1832018 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01477581","NY01477581_01 NY01477581_02",NA,NA,"paratype","57036","auto",NA,NA,NA,NA,NA,NA,NA
"41","2019-12-16 17:46:21-03","NYBG","NYBG","402804","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","heptaphyllus","Handroanthus heptaphyllus",NA,"J. G. Kuhlmann","337","1934","05","08","South America","Brazil","Espírito Santo","Colatina","Colatina, Estrada da Colônia, a 64 Km de Colatina.","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=374163 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00402804","NY00402804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-12-16 16:45:53-03","NYBG","NYBG","565066","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Hippeastrum","puniceum","Hippeastrum puniceum","(Lam.) Kuntze","J. G. Kuhlmann",NA,"1957","09",NA,"South America","Brazil","Espírito Santo","Colatina","Colatina","-40.6306","-19.5394","-40.6306","-19.5394",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=427166 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00565066","NY00565066","J. H. A. Dutilh","1995",NA,NA,NA,NA,"10","01",NA,NA,NA,NA
